"name","ingredients","diet","prep_time","cook_time","flavor_profile","course","state","region"
"Chole bhature","bay leaf","vegetarian",20,30,"spicy","main course","Punjab","North"
"Chole bhature","cinnamon stick","vegetarian",20,30,"spicy","main course","Punjab","North"
"Daal baati churma","Moong dal","vegetarian",10,90,"spicy","main course","Rajasthan","West"
"Daal baati churma","masoor dal","vegetarian",10,90,"spicy","main course","Rajasthan","West"
"Daal baati churma","chana dal","vegetarian",10,90,"spicy","main course","Rajasthan","West"
"Daal baati churma","wheat flour","vegetarian",10,90,"spicy","main course","Rajasthan","West"
"Daal baati churma","almond","vegetarian",10,90,"spicy","main course","Rajasthan","West"
"Daal puri","Moong dal","vegetarian",30,30,"spicy","main course","West Bengal","East"
"Daal puri","garam masala powder","vegetarian",30,30,"spicy","main course","West Bengal","East"
"Daal puri","garlic","vegetarian",30,30,"spicy","main course","West Bengal","East"
"Daal puri","green chilli","vegetarian",30,30,"spicy","main course","West Bengal","East"
"Daal puri","all purpose flour","vegetarian",30,30,"spicy","main course","West Bengal","East"
"Dal makhani ","Red kidney beans","vegetarian",10,60,"sweet","main course","Punjab","North"
"Dal makhani ","urad dal","vegetarian",10,60,"sweet","main course","Punjab","North"
"Dal makhani ","cream","vegetarian",10,60,"sweet","main course","Punjab","North"
"Dal makhani ","garam masala","vegetarian",10,60,"sweet","main course","Punjab","North"
"Dal makhani ","chili powder","vegetarian",10,60,"sweet","main course","Punjab","North"
"Dal tadka","Pigeon peas","vegetarian",10,30,"spicy","main course","Punjab","North"
"Dal tadka","garam masala","vegetarian",10,30,"spicy","main course","Punjab","North"
"Dal tadka","ginger","vegetarian",10,30,"spicy","main course","Punjab","North"
"Dal tadka","red onion","vegetarian",10,30,"spicy","main course","Punjab","North"
"Dal tadka","kasuri methi","vegetarian",10,30,"spicy","main course","Punjab","North"
"Dum aloo","Baby potatoes","vegetarian",20,50,"spicy","main course","Jammu & Kashmir","North"
"Dum aloo","garam masala","vegetarian",20,50,"spicy","main course","Jammu & Kashmir","North"
"Dum aloo","cashew nuts","vegetarian",20,50,"spicy","main course","Jammu & Kashmir","North"
"Dum aloo","kasuri methi","vegetarian",20,50,"spicy","main course","Jammu & Kashmir","North"
"Dum aloo","tomatoes","vegetarian",20,50,"spicy","main course","Jammu & Kashmir","North"
"Poha","Beaten rice flakes","vegetarian",20,30,"spicy","snack","Maharashtra","West"
"Poha","potato","vegetarian",20,30,"spicy","snack","Maharashtra","West"
"Poha","curry leaves","vegetarian",20,30,"spicy","snack","Maharashtra","West"
"Poha","green chilies","vegetarian",20,30,"spicy","snack","Maharashtra","West"
